-0.03, 100.73, 796.38, 147.06, 5.58, 0.07, 0.01, 0.01, 0.07, 0.01, 0.01, 75.75, 14.35, 1.32, 0.00, 
-0.03, 100.72, 795.91, 147.06, 4.82, 0.06, 0.01, 0.01, 0.06, 0.01, 0.02, 75.91, 14.37, 1.28, 0.00, 
-0.03, 100.68, 796.29, 146.39, 5.20, 0.07, 0.01, 0.01, 0.07, 0.01, 0.01, 76.07, 14.35, 1.25, 0.00, 
-0.03, 100.68, 796.23, 147.21, 5.09, 0.06, 0.02, 0.02, 0.06, 0.02, 0.02, 76.22, 14.38, 1.22, 0.00, 
-0.03, 100.70, 796.08, 147.79, 4.65, 0.06, 0.01, 0.02, 0.07, 0.01, 0.02, 76.37, 14.43, 1.19, 0.00, 
-0.03, 100.67, 796.02, 146.77, 4.97, 0.06, 0.01, 0.01, 0.06, 0.01, 0.01, 76.51, 14.42, 1.16, 0.00, 
-0.03, 100.66, 796.29, 147.15, 4.88, 0.06, 0.01, 0.01, 0.06, 0.01, 0.01, 76.64, 14.43, 1.13, 0.00, 
-0.03, 100.65, 796.23, 146.92, 4.68, 0.07, 0.02, 0.01, 0.07, 0.02, 0.01, 76.77, 14.43, 1.11, 0.00, 
-0.03, 100.63, 796.29, 146.86, 5.55, 0.07, 0.01, 0.01, 0.07, 0.01, 0.01, 76.89, 14.44, 1.09, 0.00, 
-0.03, 100.63, 796.38, 146.97, 5.14, 0.06, 0.02, 0.01, 0.06, 0.02, 0.01, 77.00, 14.45, 1.07, 0.00, 
-0.03, 100.61, 796.35, 146.86, 5.76, 0.06, 0.02, 0.01, 0.06, 0.02, 0.02, 77.12, 14.45, 1.05, 0.00, 
-0.03, 100.61, 796.61, 147.03, 5.14, 0.06, 0.01, 0.02, 0.06, 0.01, 0.02, 77.23, 14.47, 1.03, 0.00, 
-0.03, 100.63, 796.52, 147.73, 5.26, 0.06, 0.02, 0.01, 0.06, 0.02, 0.01, 77.33, 14.51, 1.01, 0.00, 
-0.03, 100.61, 796.49, 147.18, 5.06, 0.06, 0.02, 0.01, 0.06, 0.02, 0.01, 77.43, 14.51, 0.99, 0.00, 
-0.03, 100.63, 796.64, 147.94, 4.91, 0.06, 0.02, 0.01, 0.06, 0.02, 0.01, 77.52, 14.55, 0.98, 0.00, 
-0.03, 100.63, 796.81, 147.68, 5.17, 0.06, 0.02, 0.01, 0.07, 0.02, 0.02, 77.61, 14.56, 0.96, 0.00, 
-0.03, 100.61, 796.78, 147.33, 5.70, 0.07, 0.02, 0.01, 0.07, 0.02, 0.01, 77.70, 14.56, 0.95, 0.00, 
-0.03, 100.62, 796.67, 147.94, 4.53, 0.06, 0.01, 0.01, 0.06, 0.02, 0.01, 77.78, 14.59, 0.92, 0.00, 
-0.03, 100.60, 796.84, 147.18, 5.06, 0.07, 0.02, 0.02, 0.07, 0.02, 0.02, 77.87, 14.57, 0.91, 0.00, 
-0.03, 100.59, 796.81, 147.35, 5.58, 0.06, 0.02, 0.01, 0.06, 0.02, 0.01, 77.94, 14.57, 0.90, 0.00, 
-0.03, 100.59, 796.52, 147.59, 5.32, 0.05, 0.01, 0.01, 0.06, 0.01, 0.01, 78.02, 14.59, 0.89, 0.00, 
